instance,recent_max,z_score,historical_mean,historical_std
instance-9911f714-73c5-43f7-bb1a-aaf62e59c26e,10.27,33.18,1.13,0.28
instance-542f5acd-f831-4835-a923-545466645426,7.78,32.98,3.7,0.12
instance-92f82215-4707-4ae1-896a-33811954e150,42.28,32.83,4.14,1.16
instance-0d7dd83d-b7a6-461b-8f21-74c2b4dd4404,8.94,32.79,2.22,0.21
instance-98abcc19-e653-4607-98fd-b8f05d7140cc,12.58,32.79,8.28,0.13
instance-0108cec0-ffea-491d-9fd1-116687c3750b,3.39,32.65,1.98,0.04
instance-c6624fd7-cb49-4249-ab0e-b63a8c5a2611,13.28,32.56,5.18,0.25
instance-cd43b18e-4aea-43cb-ad33-ee439a95b855,3.68,32.37,1.13,0.08
instance-473fbdff-ffb2-417c-b5e0-54dc4973af54,3.57,32.26,1.14,0.08
instance-8028b0cf-0d23-4dc8-9fcf-271e98003bc7,3.82,32.16,1.13,0.08
instance-a130a1c1-40ba-4779-adf1-206be475b137,9.43,32.15,5.83,0.11
instance-c3cd4362-a507-4a7d-9a9b-2d83ead61136,10.25,32.09,5.1,0.16
instance-e0c13641-4592-4cb3-8478-2933b2f5b0bb,8.04,31.96,2.28,0.18
instance-68dbdba1-6747-4521-9969-7f442fa57d10,10.23,31.9,1.48,0.27
instance-32ef984b-b2d9-4a66-9835-41ffdd4af14b,98.49,31.77,14.42,2.65
instance-7d0fbd93-cbf6-42f5-aa76-fbf975aaf0a4,9.49,31.73,1.05,0.27
instance-5976596a-8473-45bd-90a9-b2ee42083d92,8.11,31.52,1.04,0.22
instance-bc11c192-8987-4918-bb2a-7609c78a3f35,4.72,31.51,1.58,0.1
instance-38bd5dce-bf42-42e6-9477-ba6d979bc23c,8.63,31.5,1.01,0.24
instance-915a147f-245b-46a1-bf7d-4f9314fb3e89,4.91,31.47,0.61,0.14
instance-7495348c-5165-4110-9425-3d81d943290e,2.57,31.37,0.3,0.07
instance-789603f3-6022-4561-874a-8b7975b964a3,7.44,31.11,3.27,0.13
instance-80739178-7dd3-4d44-8013-7cbfba4e393b,14.09,30.92,5.63,0.27
instance-a28c37db-b26b-4505-824e-cbd6ecb9ed61,9.32,30.76,1.16,0.27
instance-8b16e41d-f9a5-412f-bcf1-b64e2bd8793a,20.78,30.74,2.7,0.59
instance-3d50cd1c-07b2-4277-996c-05657003174f,9.49,30.63,1.09,0.27
instance-579cc003-1860-4491-a443-4c254f09bd8f,11.81,30.55,1.85,0.33
instance-b2db58ac-c05b-497d-8ea3-322ccc4838e6,2.59,30.52,0.68,0.06
instance-29e67b24-dcd8-4ecb-8d5f-0b388fda0bc6,24.99,30.36,8.54,0.54
instance-f1a52a21-15a1-446c-9dc5-8499bc5bc184,3.69,30.28,2.11,0.05
instance-6cb94562-5959-4cff-86ce-8089eff01d45,6.03,30.13,4.27,0.06
instance-31260fe4-9fe8-4866-b2db-4fda6574d9cc,4.28,30.08,2.15,0.07
instance-e06501a7-75bb-4c9d-aafb-0e09a58f3e5e,31.82,29.95,6.96,0.83
instance-fedd6dab-c787-485c-a80c-706d20900a14,16.08,29.95,4.23,0.4
instance-0ef9155b-c843-4116-b25e-de603a8866ab,4.41,29.92,1.57,0.09
instance-a8c8b37a-6a47-4d45-81bc-94f35c0ffade,8.52,29.87,2.12,0.21
